k, NA;
relinquished, |A;
relinquisher, N;
relinquishing, |N;
relinquishment, N;
reliquaries, p;
reliquary, N;
relique, N;
reliquefied, V;
reliquefy, V;
reliquefying, V;
reliquiae, p;
reliquidate, V;
reliquidated, V;
reliquidating, V;
reliquidation, N;
relish, tNV;
relishable, A;
relishing, |N;
relishingly, v;
relist, t;
relisten, V;
relistening, |N;
relitigate, t;
relitigated, t;
relitigating, t;
relitigation, N;
relivable, A;
relive, tV;
relived, V;
reliving, VN;
reload, NV;
reloan, Nt;
relocatable program, |h;
relocate, tV;
relocated, tA;
relocating, t;
relocation, N;
relose, t;
relosing, t;
relost, t;
relower, t;
relubricate, t;
relubricated, t;
relubricating, t;
relucent, A;
reluct, i;
reluctance, N;
reluctant, A;
reluctantly, v;
reluctivity, N;
relume, t;
rely, V;
rely on, |V;
rely upon, |V;
relying, i;
relyric, |V;
rem, N;
rem sleep, |h;
remagnetization, N;
remagnetize, t;
remagnetized, t;
remagnetizing, t;
remagnified, t;
remagnify, t;
remagnifying, t;
remail, t;
remaim, t;
remain, V;
remain down, |V;
remain firm, |V;
remainder, NtV;
remainderman, N;
remaining, |A;
remains, pN;
remake, NVt;
remaker, N;
remaking, |N;
reman, t;
remand, tNV;
remand home, h;
remanence, N;
remanent, A;
remanifest, t;
remanifestation, N;
remanned, t;
remanning, t;
remanufacture, t;
remanufactured, t;
remanufacturing, t;
remap, t;
remapped, t;
remapping, t;
remark, VtN;
remarkable, A;
remarkably, |v;
remarker, N;
remarket, t;
remarque, N;
remarriage, N;
remarried, V;
remarry, V;
remarrying, V;
remarshal, t;
remarshaled, t;
remarshaling, t;
remaster, t;
remasteries, p;
remastery, N;
remasticate, V;
remasticated, V;
remasticating, V;
remastication, N;
rematch, NVt;
rematerialization, N;
rematerialize, V;
rematerialized, V;
rematerializing, V;
rematriculate, V;
rematriculated, V;
rematriculating, V;
remblai, N;
rembrandt, |N;
rembrandt harmensz van rijn, |h;
rembrandt van rijn, |h;
rembrandt van ryn, |h;
rembrandtesque, |A;
remeasure, t;
remeasured, t;
remeasurement, N;
remeasuring, t;
remediable, A;
remediableness, N;
remedial, A;
remediate, t;
remediated, t;
remediating, t;
remediation, N;
remedied, p;
remedies, p;
remediless, A;
remedy, NtV;
remedying, p;
remelt, t;
remember, Vt;
remember oneself, |V;
remembered, |A;
rememberer, N;
remembering, |N;
remembrance, N;
remembrancer, N;
rememorize, t;
rememorized, t;
rememorizing, t;
remend, V;
remention, t;
remerge, V;
remerged, V;
remerging, V;
remex, N;
remiform, A;
remiges, p;
remigial, A;
remigrant, N;
remigrate, i;
remigrated, i;
remigrating, i;
remigration, N;
remilegia, |N;
remilegia australis, |h;
remilitarization, N;
remilitarize, tV;
remilitarized, t;
remilitarizing, t;
remill, t;
remillable, A;
remind, tV;
reminder, |N;
remindful, A;
remingle, V;
remingled, V;
remingling, V;
reminisce, iV;
reminiscence, N;
reminiscent, A;
reminiscent of, |A;
reminiscently, |v;
remint, t;
remise, tN;
remised, t;
remising, t;
remiss, A;
remissibility, N;
remissible, A;
remissibleness, N;
remission, N;
remission of sin, |h;
remissively, v;
remissiveness, N;
remissly, v;
remissness, N;
remit, VN;
remital, N;
remittable, A;
remittal, |N;
remittance, N;
remittance man, h;
remitted, V;
remittee, N;
remittence, N;
remittency, N;
remittent, A;
remittently, v;
remitter, N;
remitting, V;
remittor, N;
remix, V;
remixed, V;
remnant, NA;
remobilization, N;
remobilize, V;
remobilized, V;
remobilizing, V;
remodel, tV;
remodeled, tA;
remodeler, N;
remodeling, t;
remodelled, t;
remodelling, t;
remodification, N;
remodified, V;
remodify, V;
remodifying, V;
remodulate, t;
remodulated, t;
remodulating, t;
remolade, N;
remold, V;
remollified, t;
remollify, t;
remollifying, t;
remonetisation, N;
remonetise, t;
remonetised, t;
remonetising, t;
remonetization, N;
remonetize, t;
remonetized, t;
remonetizing, t;
remonstrance, N;
remonstrant, NA;
remonstrate, iV;
remonstratingly, v;
remonstration, N;
remonstrative, A;
remonstratively, v;
remonstrator, N;
remontant, AN;
remontoir, N;
remontoire, N;
remora, N;
remorse, N;
remorseful, A;
remorsefully, v;
remorsefulness, N;
remorseless, A;
remorselessly, v;
remorselessness, N;
remortgage, t;
remortgaged, t;
remortgaging, t;
remote, AN;
remote control, h;
remote station, |h;
remote terminal, |h;
remote-access data processing, |h;
remote-control, A;
remote-controlled, |A;
remotely, v;
remoteness, N;
remoter, A;
remotest, A;
remotion, N;
remoulade sauce, |h;
remould, VtN;
remount, VtN;
removability, N;
removable, A;
removable disk, |h;
removableness, N;
removably, v;
removal, N;
removal company, |h;
removal firm, |h;
removalist, N;
remove, ViN;
removed, A;
removedly, v;
removedness, N;
remover, N;
removing, V;
remuda, |N;
remultiplication, N;
remultiplied, V;
remultiply, V;
remultiplying, V;
remunerability, N;
remunerable, A;
remunerably, v;
remunerate, tV;
remunerated, |A;
remuneration, N;
remunerative, A;
remuneratively, v;
remunerativeness, N;
remunerator, N;
remus, |N;
renail, t;
renaissance, |N;
renaissance man, |h;
renal, A;
renal artery, |h;
renal calculus, |h;
renal cortex, |h;
renal failure, |h;
renal insufficiency, |h;
renal pelvis, h;
renal vein, |h;
rename, tV;
renamed, t;
renaming, t;
renascence, N;
renascent, A;
renationalize, V;
renationalized, V;
renationalizing, V;
renavigate, t;
renavigated, t;
renavigating, t;
renavigation, N;
rencontre, N;
rencontres, p;
rend, Vt;
render, tNV;
renderable, A;
renderer, N;
rendering, N;
rendering works, hti;
rendezvous, NV;
rendible, A;
rending, |A;
rendition, N;
rendu, N;
rendzina, N;
rene antoine ferchault de reaumur, |h;
rene descartes, |h;
renegade, NVA;
renegado, N;
renegate, t;
renegated, t;
renegating, t;
renegation, N;
renege, iVN;
renege on, |V;
reneger, N;
renegotiable, A;
renegotiate, ti;
renegotiated, V;
renegotiating, V;
renegotiation, N;
renegue on, |V;
reneutralize, V;
reneutralized, V;
reneutralizing, V;
renew, V;
renewable, |A;
renewal, N;
renewed, |A;
renewer, N;
renewing, |A;
renga, N;
reniform, A;
reniform leaf, |h;
renin, N;
renitence, N;
renitency, N;
renitent, A;
rennet, N;
rennin, N;
reno, |N;
renominate, t;
renominated, t;
renominating, t;
renomination, N;
renormalization, N;
renormalize, tV;
renormalized, t;
renormalizing, t;
renotarize, t;
renotarized, t;
renotarizing, t;
renotation, N;
renotice, t;
renoticed, t;
renoticing, t;
renotification, N;
renotified, t;
renotify, t;
renotifying, t;
renounce, tiNV;
renounceable, A;
renounced, V;
renouncement, N;
renouncer, N;
renouncing, V;
renourish, t;
renourishment, N;
renovate, tV;
renovated, VA;
renovating, V;
renovation, N;
renovative, A;
renovator, N;
renown, N;
renowned, A;
renownedly, v;
renownedness, N;
renownless, A;
rensselaerite, N;
rent, NtiVA;
rent collector, |h;
rent out, |V;
rent party, h;
rent seck, h;
rent-free, Av;
rent-rebate, |N;
rent-roll, N;
rentability, N;
rentable, A;
rental, NA;
rental collection, |h;
rente, N;
renter, N;
rentier, N;
rentiers, p;
renting, |N;
renullification, N;
renullified, t;
renullify, t;
renullifying, t;
renumber, t;
renumerate, t;
renumerated, t;
renumerating, t;
renunciable, A;
renunciant, |A;
renunciation, N;
renunciative, A;
renunciatory, A;
renversa, A;
renvoi, N;
reobject, t;
reobligate, t;
reobligated, t;
reobligating, t;
reobligation, N;
reoblige, t;
reobliged, t;
reobliging, t;
reobservation, N;
reobserve, V;
reobserved, V;
reobserving, V;
reobtain, t;
reobtainable, A;
reoccupation, N;
reoccupied, t;
reoccupy, t;
reoccupying, t;
reoccur, i;
reoccurred, i;
reoccurrence, N;
reoccurring, i;
reoffend, V;
reoffer, VN;
reoil, V;
reopen, tiV;
reoperate, t;
reoperated, t;
reoperating, t;
reoperation, N;
reoppose, t;
reopposed, t;
reopposing, t;
reoppress, t;
reorchestrate, V;
reorchestrated, V;
reorchestrating, V;
reorchestration, N;
reordain, t;
reorder, tNV;
reordering, |N;
reorganisation, |N;
reorganise, ti;
reorganised, ti;
reorganiser, N;
reorganising, ti;
reorganization, N;
reorganize, tiV;
reorganized, tiA;
reorganizer, N;
reorganizing, ti;
reorient, tiAV;
reorientate, tV;
reorientated, t;
reorientating, t;
reorientation, N;
reornament, t;
reoutfit, t;
reoutfitted, t;
reoutfitting, t;
reoutline, t;
reoutlined, t;
reoutlining, t;
reovirus, |N;
reoxidise, V;
reoxidised, V;
reoxidising, V;
reoxidize, V;
reoxidized, V;
reoxidizing, V;
rep, N;
repacified, t;
repacify, t;
repacifying, t;
repack, V;
repackage, t;
repackaged, t;
repackaging, t;
repad, t;
repadded, t;
repadding, t;
repaginate, t;
repaginated, t;
repaginating, t;
repagination, N;
repaint, tNV;
repair, tNiV;
repair shed, |h;
repair shop, |h;
repair to, |V;
repairable, A;
repairableness, N;
repaired, |A;
repairer, N;
repairman, N;
repairmen, p;
repand, A;
repanel, t;
repaneled, t;
repaneling, t;
repaper, t;
reparable, A;
reparably, v;
reparation, N;
reparative, A;
repark, V;
repartee, N;
repartition, Nt;
repassage, N;
repast, Ni;
repaste, t;
repasted, t;
repasting, t;
repatch, V;
repatriate, VtN;
repatriated, t;
repatriating, t;
repatriation, |N;
repatrol, t;
repatrolled, t;
repatrolling, t;
repatronize, t;
repatronized, t;
repatronizing, t;
repattern, t;
repave, t;
repaved, t;
repaving, t;
repawn, t;
repay, V;
repayable, A;
repayment, N;
repayment rate, |h;
repeal, tNV;
repealability, N;
repealable, A;
repealableness, N;
repealer, N;
repeat, VitN;
repeatability, N;
repeatable, A;
repeated, A;
repeatedly, v;
repeater, N;
repeating, |N;
repeating decimal, h;
repeating firearm, h;
repeating theodolite, h;
repeating watch, h;
repechage, N;
repeddle, t;
repeddled, t;
repeddling, t;
repel, V;
repellant, |NA;
repellantly, v;
repelled, V;
repellence, N;
repellency, N;
repellent, AN;
repellently, v;
repeller, N;
repelling, VN;
repellingly, v;
repellingness, N;
repen, t;
repenalize, t;
repenalized, t;
repenalizing, t;
repenned, t;
repenning, t;
repent, VA;
repentance, N;
repentant, A;
repentantly, v;
repeople, t;
repeopled, t;
repeopling, t;
reperceive, t;
reperceived, t;
reperceiving, t;
reperception, N;
repercussion, N;
repercussively, v;
repercussiveness, N;
reperforator, N;
reperform, t;
reperformance, N;
repertoire, N;
repertories, p;
repertory, N;
repertory company, h;
reperusal, N;
reperuse, t;
reperused, t;
reperusing, t;
repetend, N;
repetiteur, N;
repetition, N;
repetitious, A;
repetitiousness, |N;
repetitive, A;
repetitively, v;
repetitiveness, N;
rephotograph, tN;
rephrase, tV;
rephrased, t;
rephrasing, tN;
repic, N;
repick, t;
repin, t;
repine, iV;
repined, i;
repiner, N;
repining, iA;
repinned, t;
repinning, t;
replace, tV;
replaceability, |N;
replaceable, |A;
replaced, t;
replacement, N;
replacement cost, |h;
replacing, tN;
replan, t;
replane, t;
replaned, t;
replaning, t;
replanned, t;
replanning, t;
replant, tV;
replaster, t;
replate, t;
replated, t;
replating, t;
replay, NV;
replead, V;
repleader, N;
repledge, t;
repledged, t;
repledging, t;
replenish, tV;
replenishment, |N;
replete, AV;
repletely, v;
repleteness, N;
repletion, N;
repletive, A;
repletively, v;
replevin, NV;
replevisable, tiN;
replevy, VN;
replica, N;
replicate, VA;
replication, N;
replier, N;
replot, t;
replotted, t;
replotting, t;
replow, t;
replowed, t;
replowing, t;
replume, t;
replumed, t;
repluming, t;
replunge, V;
replunged, V;
replunging, V;
reply, VtN;
reply-paid, |A;
repoint, tV;
repolarization, N;
repolarize, t;
repolarized, t;
repolarizing, t;
repolish, VN;
reponder, i;
repone, t;
repopularization, N;
repopularize, t;
repopularized, t;
repopularizing, t;
repopulate, t;
repopulated, t;
repopulating, t;
repopulation, N;
report, NVti;
report card, h;
report out, |V;
report stage, h;
reportable, A;
reportage, N;
reported, |A;
reported speech, h;
reportedly, v;
reporter, N;
reporting, |N;
reporting pay, h;
reporting weight, |h;
reportion, t;
reportorial, A;
reportorially, v;
reposal, N;
repose, NVit;
repose on, |V;
reposed, Vt;
reposedly, v;
reposedness, N;
reposeful, A;
reposefully, v;
reposefulness, N;
reposer, N;
reposing, Vt;
reposit, t;
repositing, |N;
reposition, NtV;
repositioning, |N;
repositories, p;
repository, N;
repossess, tV;
repossession, N;
repossessor, N;
repost, t;
repostpone, t;
repostponed, t;
repostponing, t;
repostulate, t;
repostulated, t;
repostulating, t;
repostulation, N;
repot, V;
repour, t;
repouss, AN;
repoussa, A;
repoussage, N;
repp, N;
repractice, t;
repracticed, t;
repracticing, t;
repraise, t;
repraised, t;
repraising, t;
reprehend, tV;
reprehendable, A;
reprehender, N;
reprehensibility, N;
reprehensible, A;
reprehensibleness, N;
reprehensibly, v;
reprehension, N;
reprehensively, |v;
repremise, V;
repremised, V;
repremising, V;
reprepare, t;
reprepared, t;
repreparing, t;
represcribe, t;
represcribed, t;
represcribing, t;
represent, tV;
representable, |A;
representation, N;
representational, A;
representational process, |h;
representationalism, NA;
representationalist, N;
representationalistic, A;
representative, NA;
representative sample, |h;
representative sampling, |h;
representatively, v;
representativeness, N;
represented, |A;
repress, tV;
repressed, |A;
represser, N;
repressible, A;
repressing, |A;
repression, N;
repressive, A;
repressively, v;
repressiveness, N;
repressor, N;
reprice, t;
repriced, t;
repricing, t;
reprieve, tNV;
reprieved, V;
reprieving, V;
reprimand, NtV;
reprimanded, |A;
reprimander, N;
reprimandingly, v;
reprime, t;
reprimed, t;
repriming, t;
reprint, NVt;
reprinter, N;
reprinting, |N;
reprisal, N;
reprise, NV;
repro, N;
repro proof, h;
reproach, tNV;
reproachable, A;
reproachableness, N;
reproachably, v;
reproacher, N;
reproachful, A;
reproachfully, v;
reproachfulness, N;
reproachingly, v;
reproachless, A;
reproachlessness, N;
reprobate, ANtV;
reprobated, V;
reprobating, V;
reprobation, N;
reprobationary, A;
reprobative, A;
reprobatively, v;
reprobe, V;
reprobed, V;
reprobing, V;
reproceed, i;
reprocess, tV;
reprocessed, A;
reproclaim, t;
reproclamation, N;
reproduce, Vi;
reproduced, V;
reproducer, N;
reproducibility, N;
reproducible, A;
reproducibly, |v;
reproducing, V;
reproduction, N;
reproduction cost, |h;
reproduction proof, h;
reproductive, A;
reproductive cell, |h;
reproductive imagination, h;
reproductive organ, |h;
reproductive structure, |h;
reproductive system, |h;
reproductively, v;
reproductiveness, N;
reprogram, Vt;
reprography, N;
reproject, V;
repromise, V;
repromised, V;
repromising, V;
repromulgate, t;
repromulgated, t;
repromulgating, t;
repromulgation, N;
reproof, NV;
reproofless, A;
reproportion, t;
repropose, V;
reproposed, V;
reproposing, V;
reprosecute, t;
reprosecuted, t;
reprosecuting, t;
reprotest, NV;
reprovable, A;
reprovableness, N;
reproval, N;
reprove, tV;
reproved, VA;
reproving, VA;
reprovingly, |v;
reprovision, V;
reprune, t;
repruned, t;
repruning, t;
rept, N;
reptant, A;
reptantia, |N;
reptile, NA;
reptile family, |h;
reptile genus, |h;
reptilelike, A;
reptilia, |N;
reptilian, AN;
reptiloid, A;
repture, |N;
republic, N;
republic of china, |h;
republic of congo, |h;
republic of ireland, |h;
republic of korea, |h;
republic of letters, h;
republic of south africa, |h;
republic of the philippines, |h;
republic of the sudan, |h;
republican, AN;
republican party, |h;
republican river, |h;
republicanisation, N;
republicanise, t;
republicanised, t;
republicaniser, N;
republicanising, t;
republicanism, N;
republicanization, N;
republicanize, t;
republicanizer, N;
republication, N;
republish, t;
republishable, A;
republishing, |N;
repudiate, tV;
repudiated, tA;
repudiating, t;
repudiation, N;
repudiative, |A;
repudiatory, A;
repugn, V;
repugnance, N;
repugnant, A;
repulse, tNV;
repulsed, V;
repulser, N;
repulsing, V;
repulsion, N;
repulsive, A;
repulsive force, |h;
repulsively, v;
repulsiveness, N;
repunctuate, t;
repunctuated, t;
repunctuating, t;
repunctuation, N;
repunish, V;
repunishable, A;
repunishment, N;
repurchase, AN;
repurification, N;
repurified, V;
repurify, V;
repurifying, V;
repurpose, t;
repurposed, t;
repurposing, t;
repursue, t;
repursued, t;
repursuing, t;
reputability, N;
reputable, A;
reputableness, N;
reputably, v;
reputation, N;
reputationless, A;
repute, tNV;
reputed, Av;
reputedly, v;
req, N;
requalification, N;
requalified, V;
requalify, V;
requalifying, V;
request, tNV;
request stop, h;
requested, |A;
requestion, t;
requicken, V;
requiem, |N;
requiem shark, h;
requiescat, N;
requiescat in pace, h;
require, V;
required, VA;
requirement, N;
requirements contract, |h;
requiring, t;
requisite, AN;
requisitely, v;
requisiteness, N;
requisition, NtV;
requisitionary, A;
requisitioner, N;
requisitionist, N;
requitable, A;
requital, N;
requite, tV;
requited, tA;
requitement, N;
requiter, N;
requiting, t;
requittal, |N;
requote, t;
requoted, t;
requoting, t;
reradiate, V;
reradiated, V;
reradiating, V;
reradiation, N;
reran, V;
rerank, V;
rerate, V;
rerated, V;
rerating, V;
reread, V;
rereading, V;
rerebrace, |N;
reredos, N;
rereel, V;
reregister, V;
reregistration, N;
reregulate, t;
reregulated, t;
reregulating, t;
reregulation, N;
reremmice, p;
reremouse, N;
rerent, t;
rerental, N;
rerise, V;
rerisen, V;
rerising, V;
reroll, V;
rerose, V;
reroute, V;
rerouted, V;
rerouting, V;
rerun, VtN;
rerunning, V;
res, N;
res adjudicata, h;
res gestae, p;
res ipsa loquitur, |h;
res judicata, h;
res publica, h;
resaddle, V;
resaddled, V;
resaddling, V;
resail, i;
resalable, A;
resale, N;
resale price maintenance, h;
resalt, t;
resalute, V;
resaluted, V;
resaluting, V;
resample, t;
resampled, t;
resampling, t;
resanction, t;
resat, V;
resaw, tN;
resawed, V;
resawer, N;
resawing, V;
resawn, V;
resawyer, N;
rescale, |V;
reschedule, tV;
rescheduled, t;
rescheduling, t;
reschool, t;
rescind, tV;
rescindable, |A;
rescinding, |N;
rescissible, A;
rescission, N;
rescissory, A;
rescript, N;
rescrub, ti;
rescrubbed, V;
rescrubbing, V;
rescrutinies, p;
rescrutinize, t;
rescrutinized, t;
rescrutinizing, t;
rescrutiny, N;
rescue, VN;
rescue equipment, |h;
rescue grass, h;
rescue party, |h;
rescued, VA;
rescuer, |N;
rescuing, V;
reseal, tV;
resealable, A;
research, NV;
research center, |h;
research colloquium, |h;
research director, |h;
research library, h;
research rocket, |h;
research staff, |h;
research worker, |h;
researchable, |A;
researcher, hN;
researchist, h;
reseason, V;
reseat, tV;
reseau, N;
resect, N;
resection, N;
resectional, A;
resecure, V;
resecured, V;
resecuring, V;
reseda, NA;
reseda luteola, |h;
reseda odorata, |h;
resedaceae, |N;
resedaceous, A;
reseed, V;
reseek, t;
reseeking, t;
resegregate, V;
resegregated, V;
resegregating, V;
resegregation, N;
reseize, t;
reseized, t;
reseizing, t;
reseizure, N;
reselect, t;
reselection, N;
resell, V;
reseller, N;
reselling, V;
resemblance, N;
resemblant, A;
resemble, tV;
resembled, t;
resembling, t;
resemblingly, v;
resend, t;
resending, t;
resensation, N;
resensitization, N;
resensitize, t;
resensitized, t;
resensitizing, t;
resent, tV;
resentence, Nt;
resentenced, t;
resentencing, t;
resentful, A;
resentfully, v;
resentfulness, N;
resentment, N;
reseparate, V;
reseparated, V;
reseparating, V;
reseparation, N;
reserpine, N;
reservable, A;
reservation, N;
reserve, tNVA;
reserve account, |h;
reserve asset, |h;
reserve bank, h;
reserve buoyancy, h;
reserve currency, h;
reserve fund, |h;
reserve officers training corps, |h;
reserve price, h;
reserved, A;
reserved list, h;
reserved occupation, h;
reservedly, v;
reservedness, N;
reserveless, A;
reserves, |N;
reservice, t;
reserviced, t;
reservicing, t;
reserving, V;
reservist, N;
reservoir, N;
reset, VtN;
reset button, |h;
resetter, N;
resetting, V;
resettle, V;
resettled, VA;
resettlement, N;
resettling, V;
resew, tV;
resewed, t;
resewn, t;
resh, N;
reshake, V;
reshaken, V;
reshaking, V;
reshape, tV;
reshare, t;
reshared, t;
resharing, t;
resharpen, V;
reshave, V;
reshaved, V;
reshaving, V;
reshew, V;
reshift, V;
reshine, V;
reshined, V;
reshingle, t;
reshingled, t;
reshingling, t;
reshining, V;
reshipment, N;
reshod, t;
reshoe, t;
reshoeing, t;
reshook, V;
reshoot, V;
reshooting, V;
reshorten, V;
reshoulder, t;
reshow, V;
reshower, V;
reshuffle, NtV;
reshuffled, V;
reshuffling, vN;
reshut, V;
reshutting, V;
resicken, V;
reside, iV;
resided, i;
residence, N;
residence hall, |h;
residency, N;
resident, NA;
resident commissioner, h;
resident physician, |h;
residential, A;
residential area, |h;
residential district, |h;
residentially, |v;
residentiary, AN;
residentship, N;
resider, N;
residing, i;
residual, AN;
residual clay, |h;
residual soil, |h;
residual stress, h;
residuary, A;
residue, N;
residuum, N;
resift, tV;
resight, t;
resign, Vt;
resignal, V;
resignaled, V;
resignaling, V;
resignation, N;
resigned, A;
resignedly, |v;
resile, i;
resilement, N;
resilience, N;
resiliency, |N;
resilient, A;
resiliently, v;
resilver, t;
resimmer, V;
resin, Nt;
resin jack, h;
resinate, tV;
resinated, |A;
resiniferous, A;
resinification, N;
resinified, V;
resinify, ti;
resinifying, V;
resinoid, AN;
resinous, A;
resinously, v;
resinousness, N;
resiny, |A;
resipiscence, N;
resist, VtN;
resist printing, h;
resistance, N;
resistance pyrometer, |h;
resistance thermometer, h;
resistance unit, |h;
resistance welding, h;
resistant, AN;
resistantly, v;
resistate, N;
resister, N;
resistibility, N;
resistible, A;
resistibleness, N;
resistibly, v;
resisting arrest, |h;
resistingly, v;
resistive, A;
resistively, v;
resistiveness, NA;
resistivity, N;
resistless, A;
resistlessly, v;
resistlessness, N;
resistor, N;
resit, V;
resitting, V;
resituate, t;
resituated, t;
resituating, t;
resize, |V;
resketch, t;
reslander, t;
resmooth, t;
resmudge, |V;
resnatron, N;
resoak, V;
resoften, V;
resoil, t;
resojet engine, h;
resold, V;
resolder, V;
resole, |V;
resolicit, V;
resolicitation, N;
resolidification, N;
resolidify, V;
resolubility, N;
resoluble, A;
resolubleness, N;
resolute, A;
resolutely, v;
resoluteness, N;
resolution, N;
resolutioner, N;
resolutive, A;
resolvability, N;
resolvable, A;
resolvableness, N;
resolve, VN;
resolved, A;
resolvedly, v;
resolvedness, N;
resolvent, AN;
resolver, N;
resolving, VN;
resolving power, h;
resonance, N;
resonance radiation, h;
resonant, A;
resonant cavity, h;
resonant-jet engine, h;
resonantly, v;
resonate, V;
resonated, V;
resonating, VA;
resonating chamber, |h;
resonation, N;
resonator, N;
resorb, t;
resorbence, N;
resorbent, A;
resorcinol, N;
resorcinolphthalein, N;
resorption, N;
resorptive, A;
resort, iNV;
resort hotel, |h;
resort to, |V;
resought, t;
resound, iV;
resounding, |A;
resoundingly, v;
resource, N;
resourceful, A;
resourcefully, v;
resourcefulness, N;
resourceless, |A;
resow, t;
resowed, t;
resown, t;
resp, N;
respace, t;
respaced, t;
respacing, t;
respade, t;
respaded, t;
respading, t;
respecification, N;
respecified, V;
respecify, V;
respecifying, V;
respect, NtV;
respect to, |h;
respectabilities, p;
respectability, N;
respectable, A;
respectably, |v;
respected, |A;
respecter, N;
respectful, A;
respectfully, v;
respectfulness, N;
respecting, P;
respective, A;
respectively, v;
respectiveness, N;
respects, |N;
respice, t;
respiced, t;
respicing, t;
respirability, N;
respirable, A;
respirableness, N;
respiration, N;
respirational, A;
respirator, N;
respiratory, NitA;
respiratory center, |h;
respiratory disease, |h;
respiratory disorder, |h;
respiratory organ, |h;
respiratory quotient, h;
respiratory system, |h;
respiratory tract, |h;
respire, Vi;
respirometry, N;
respite, NtV;
respited, V;
respiting, V;
resplendence, N;
resplendency, |N;
resplendent, A;
resplendent quetzel, |h;
resplendent trogon, |h;
resplendently, |v;
resplice, t;
respliced, t;
resplicing, t;
respond, ViN;
respondence, N;
respondent, NA;
responder, |N;
response, N;
response generalization, h;
response time, h;
responseless, A;
responser, N;
responsibilities, p;
responsibility, N;
responsible, AN;
responsible for, |A;
responsibleness, N;
responsibly, v;
responsion, N;
responsive, A;
responsively, v;
responsiveness, N;
responsor, N;
responsories, p;
responsory, N;
responsum, N;
responsusa, p;
resprang, V;
respray, V;
respread, V;
respreading, V;
respring, V;
resprinkle, V;
resprinkled, V;
resprinkling, V;
resquander, t;
ressentiment, Nit;
resshot, V;
rest, NVti;
rest cure, h;
rest day, |h;
rest energy, h;
rest home, h;
rest house, |h;
rest mass, h;
rest on, |V;
rest period, |h;
rest room, h;
rest stop, h;
rest-cure, N;
rest-home, N;
restab, V;
restabbed, V;
restabbing, V;
restabilization, N;
restabilize, t;
restabilized, t;
restabilizing, t;
restable, t;
restabled, t;
restabling, t;
restack, t;
restaff, t;
restage, t;
restaged, t;
restaging, t;
restain, V;
restamp, V;
restart, VN;
restate, tV;
restated, t;
restatement, N;
restating, t;
restation, t;
restaurant, N;
restaurant attendant, |h;
restaurant car, h;
restaurant chain, |h;
restauranter, |N;
restauranteurs, p;
restaurateur, N;
rested, |A;
rester, N;
resterilization, N;
resterilize, t;
resterilized, t;
resterilizing, t;
restful, A;
restfully, v;
restfulness, N;
restharrow, N;
restiform, A;
restimulate, t;
restimulated, t;
restimulating, t;
restimulation, N;
resting, A;
resting place, h;
restinging, V;
restipulate, V;
restipulated, V;
restipulating, V;
restipulation, N;
restir, V;
restirred, V;
restirring, V;
restitch, t;
restitute, |V;
restitution, N;
restitutive, A;
restitutory, A;
restive, A;
restively, v;
restiveness, N;
restless, A;
restless cavy, h;
restlessly, v;
restlessness, N;
restock, tiV;
restorable, A;
restorableness, N;
restoration, N;
restorationism, NA;
restorative, AN;
restore, tV;
restored, tA;
restorer, N;
restoring, t;
restoring spring, h;
restr, N;
restraighten, V;
restrain, tV;
restrainability, N;
restrainable, A;
restrained, |A;
restrainedly, v;
restrainer, N;
restraining order, h;
restrainingly, v;
restraint, N;
restrap, t;
restrapped, t;
restrapping, t;
restrengthen, V;
restress, t;
restricken, V;
restrict, V;
restricted, A;
restricted class, h;
restricted propellant, h;
restrictedly, v;
restrictedness, N;
restricting, |A;
restriction, NA;
restrictive, A;
restrictive clause, h;
restrictive practice, h;
restrictively, v;
restrictiveness, N;
restrike, tiN;
restriking, V;
restring, V;
restringer, N;
restringing, V;
restrive, i;
restriven, i;
restriving, i;
restroom, |N;
restrove, i;
restruck, V;
restructure, V;
restructured, V;
restructuring, V;
restrung, V;
restudies, p;
restudy, N;
restuff, t;
restung, V;
restyle, V;
restyled, V;
restyling, V;
resubject, t;
resubjection, N;
resublimate, t;
resublimated, t;
resublimating, t;
resublimation, N;
resublime, |V;
resublimed, |A;
resubmerge, V;
resubmerged, V;
resubmerging, V;
resubmission, N;
resubmit, V;
resubmitted, V;
resubmitting, V;
resubscribe, V;
resubscribed, V;
resubscribing, V;
resubscription, N;
resubstantiate, t;
resubstantiated, t;
resubstantiating, t;
resubstantiation, N;
resuit, Nt;
resulfurize, t;
resulfurized, t;
resulfurizing, t;
resulphurize, t;
resulphurized, t;
resulphurizing, t;
result, NiV;
resultant, AN;
resultant tone, h;
resulting, |A;
resulting trust, |h;
resultingly, v;
resumable, A;
resume, VtN;
resumed, V;
resumer, N;
resuming, V;
resummon, t;
resummonable, A;
resummons, N;
resumption, N;
resumptive, A;
resumptively, v;
resupinate, A;
resupine, A;
resupplied, t;
resupply, t;
resupplying, t;
resuppress, t;
resuppression, N;
resurface, tV;
resurfaced, t;
resurfacing, t;
resurgam, N;
resurge, i;
resurged, i;
resurgence, N;
resurgent, A;
resurging, i;
resurrect, Vt;
resurrection, N;
resurrection fern, h;
resurrection gate, h;
resurrection plant, h;
resurrectional, A;
resurrectionary, A;
resurrectionism, N;
resurrectionist, N;
resurrective, A;
resurvey, |N;
resuscitable, A;
resuscitate, tV;
resuscitated, tA;
resuscitating, t;
resuscitation, N;
resuscitative, A;
resuscitator, N;
resuspend, V;
resuspension, N;
