s, N;
whelk, NV;
whelked, A;
whelm, tV;
whelp, NV;
whelped, |A;
whelpless, A;
when, vCrN;
when first seen, |v;
when the time comes, |v;
when'd, N;
when'll, N;
when're, N;
when's, N;
when-issued, A;
whenas, C;
whence, vr;
whencesoever, vC;
whene'er, vC;
whenever, C;
whensoever, Cv;
where, vrCN;
where'd, N;
where'er, vC;
where'll, N;
where're, N;
where's, C;
where've, N;
whereabout, |v;
whereabouts, vN;
whereas, C;
whereat, v;
whereby, rv;
wherefor, |v;
wherefore, Nv;
wherefrom, vr;
wherein, vr;
whereinto, vr;
whereof, vr;
whereon, vr;
wheresoever, Cvr;
wherethrough, C;
whereto, rv;
whereunto, Cv;
whereupon, Cv;
wherever, Cv;
wherewith, rv;
wherewithal, Nrv;
wherried, p;
wherries, p;
wherrit, VitN;
wherry, N;
wherrying, p;
whet, tNV;
whether, Cr;
whetstone, N;
whetted, V;
whetter, N;
whetting, V;
whew, !;
whey, N;
wheyey, A;
wheyface, N;
wheyishness, N;
wheylike, A;
whf, N;
which, Dr;
whichever, D;
whichsoever, r;
whicker, V;
whidah, N;
whiff, NVti;
whiff of grapeshot, h;
whiffer, N;
whiffet, Nt;
whiffle, i;
whiffler, N;
whiffletree, N;
whig, iN;
whig party, |h;
whigged, i;
whigging, i;
whigmaleerie, N;
whigmaleeries, p;
whigmaleery, N;
while, CNPt;
while away, tV;
whiled, V;
whiles, vC;
whiling, V;
whillikers, !;
whilom, vA;
whilst, C;
whim, N;
whim-wham, h;
whimbrel, N;
whimper, iNV;
whimperer, N;
whimperingly, v;
whimsey, N;
whimseys, p;
whimsical, A;
whimsicalities, p;
whimsicality, N;
whimsically, v;
whimsy, |N;
whin, N;
whinberry, |N;
whinchat, N;
whine, NV;
whined, V;
whiner, |N;
whiney, |A;
whinge, iN;
whinier, A;
whiniest, A;
whining, VA;
whiningly, |v;
whinnied, V;
whinny, AitNV;
whinnying, V;
whinstone, N;
whiny, A;
whip, VtNi;
whip bird, h;
whip graft, h;
whip hand, h;
whip in, Vt;
whip roll, h;
whip scorpion, h;
whip snake, h;
whip through, |V;
whip top, |h;
whip up, tV;
whip-cracker, N;
whip-round, |N;
whip-tailed, AitN;
whipcord, N;
whiplash, N;
whiplash injury, h;
whiplike, A;
whipped cream, |h;
whipper, N;
whipper-in, N;
whippers-in, p;
whippersnapper, N;
whippet, N;
whipping, NA;
whipping boy, h;
whipping cream, h;
whipping post, h;
whipping top, |h;
whipple's penstemon, |h;
whippletree, N;
whippoorwill, N;
whippy, |A;
whipray, N;
whips, N;
whipsaw, NtV;
whipsawed, V;
whipsawing, V;
whipsawn, V;
whipscorpion, |N;
whipsnake, |N;
whipstall, N;
whipstitch, Nt;
whipstitching, |N;
whipstock, N;
whipt, V;
whiptail, N;
whiptail lizard, |h;
whipworm, N;
whir, iNV;
whirl, ViN;
whirl around, |V;
whirl gate, h;
whirlabout, N;
whirlicote, N;
whirlies, p;
whirligig, NV;
whirligig beetle, h;
whirling, |NA;
whirling dervish, h;
whirlingly, v;
whirlpool, NV;
whirlwind, N;
whirly, N;
whirlybird, N;
whirr, itNV;
whirried, V;
whirring, |NA;
whirry, it;
whirrying, V;
whish, NV;
whisk, tiNV;
whisk away, |V;
whisk broom, h;
whisk by, |V;
whisk fern, |h;
whisk off, |V;
whiskbroom, |N;
whisker, NV;
whisker jack, |h;
whiskered, |A;
whiskerless, |A;
whiskers, |N;
whiskery, |A;
whiskey, N;
whiskey bottle, |h;
whiskey jack, h;
whiskey jug, |h;
whiskey neat, |h;
whiskey on the rocks, |h;
whiskey sour, h;
whiskeys, p;
whiskies, p;
whisky, N;
whisky mac, h;
whisky neat, |h;
whisky on the rocks, |h;
whisky sour, |h;
whisper, VitN;
whispered, |A;
whisperer, N;
whispering, NA;
whispering bells, |h;
whispering campaign, h;
whispering dome, |h;
whispering gallery, h;
whisperingly, v;
whisperous, A;
whist, N!AV;
whist drive, |h;
whistle, VtiN;
whistle buoy, |h;
whistle for, i;
whistle stop, |h;
whistleable, A;
whistled, V;
whistler, N;
whistlestop, |V;
whistling, N;
whistling buoy, h;
whistling duck, h;
whistling marmot, |h;
whistling swan, h;
whistlingly, v;
whistly, A;
whit, N;
whit leather, |h;
whit-tuesday, |N;
white, ANV;
white Mariposa, h;
white acid, h;
white admiral, h;
white alder, |h;
white alert, h;
white alkali, h;
white anglo-saxon protestant, |h;
white ant, h;
white area, h;
white ash, h;
white aspen, |h;
white avens, |h;
white backlash, |h;
white baneberry, |h;
white basswood, |h;
white bay, h;
white bead, |h;
white bean, |h;
white bear, h;
white bedstraw, |h;
white beech, |h;
white belt, h;
white birch, h;
white blood cell, h;
white blood corpuscle, |h;
white book, h;
white bread, |h;
white bronze, h;
white broom, |h;
white bryony, h;
white burgundy, |h;
white cake, |h;
white camas, |h;
white campion, h;
white cast iron, h;
white cedar, h;
white cell, |h;
white cinnamon, |h;
white cinnamon tree, |h;
white clover, h;
white coal, h;
white cockle, |h;
white cohosh, |h;
white corpuscle, |h;
white crab, h;
white crappie, h;
white croaker, |h;
white currant, h;
white cypress, |h;
white cypress pine, |h;
white daisy, h;
white damp, h;
white dead nettle, |h;
white dew, h;
white dipladenia, |h;
white dog's-tooth violet, |h;
white dogtooth violet, |h;
white dwarf, h;
white dwarf star, |h;
white eardrop, h;
white elephant, h;
white elm, |h;
white fairy lantern, |h;
white false indigo, |h;
white feather, h;
white feldspar, |h;
white fir, |h;
white flag, h;
white flax, h;
white flint, h;
white fox, h;
white friar, h;
white fringed orchid, |h;
white fringed orchis, |h;
white fritillary, |h;
white frost, h;
white fungus, |h;
white globe lily, h;
white gold, h;
white goldenrod, h;
white goods, ph;
white gourd, h;
white grape, h;
white gum, h;
white hake, h;
white heat, h;
white heather, |h;
white hellebore, |h;
white hole, h;
white honeysuckle, |h;
white hope, h;
white horehound, |h;
white horse, h;
white horse nettle, |h;
white house, |h;
white iron, h;
white iron pyrites, h;
white knight, |h;
white lead, h;
white lead ore, h;
white leather, h;
white leg, h;
white lettuce, |h;
white lie, h;
white light, h;
white lily, |h;
white line, h;
white liquor, h;
white list, h;
white lotus, h;
white lupine, h;
white madder, |h;
white mahogany, h;
white maire, |h;
white mallee, |h;
white mallow, |h;
white man, |h;
white man's burden, |h;
white mangrove, |h;
white marlin, h;
white matsutake, |h;
white matter, h;
white meat, h;
white melilot, h;
white metal, h;
white milkweed, |h;
white mountain ash, |h;
white mulberry, h;
white mullein, |h;
white mullet, |h;
white mustard, h;
white noise, h;
white oak, h;
white onion sauce, |h;
white paper, h;
white paternoster, h;
white pelican, |h;
white pepper, h;
white perch, h;
white person, |h;
white pine, h;
white pine blister rust, |h;
white plague, h;
white popinac, |h;
white poplar, h;
white potato, h;
white potato vine, |h;
white prairie aster, |h;
white pudding, h;
white race, |h;
white rainbow, h;
white rat, h;
white rhinoceros, |h;
white rice, |h;
white river, |h;
white rocket, |h;
white room, h;
white rose, h;
white rose mallow, h;
white russia, |h;
white russian, |h;
white rust, h;
white sage, |h;
white sale, h;
white salmon, h;
white sandalwood, h;
white sanicle, |h;
white sapote, h;
white sapphire, h;
white sauce, h;
white shark, h;
white sheep, |h;
white silk-cotton tree, |h;
white slave, h;
white slaver, h;
white slime mushroom, |h;
white snakeroot, |h;
white snapdragon, |h;
white space, h;
white spanish broom, |h;
white spirit, h;
white spruce, h;
white squall, h;
white squire, |h;
white stork, h;
white stringybark, |h;
white sturgeon, h;
white supremacist, h;
white supremacy, h;
white sweet clover, |h;
white tai, |h;
white tail, |h;
white tassel flower, h;
white thistle, |h;
white tie, h;
white tie and tails, |h;
white titi, h;
white trash, |h;
white trumpet lily, |h;
white turnip, h;
white upland aster, h;
white violet, |h;
white vitriol, h;
white walnut, h;
white water, h;
white water lily, h;
white wax, h;
white wax tree, |h;
white whale, h;
white willow, |h;
white wine, h;
white wolf, |h;
white woman, |h;
white wood aster, h;
white yam, |h;
white zinnia, |h;
white-alder family, |h;
white-bellied swallow, |h;
white-berry yew, |h;
white-breasted nuthatch, |h;
white-chinned petrel, |h;
white-collar, A;
white-crowned sparrow, h;
white-eye, N;
white-eyed vireo, h;
white-eyes, p;
white-faced, A;
white-faced hornet, h;
white-footed mouse, h;
white-fronted goose, h;
white-ground, A;
white-haired, |A;
white-headed stilt, |h;
white-heart hickory, |h;
white-hot, A;
white-leaved rockrose, |h;
white-lipped, |A;
white-lipped peccary, |h;
white-livered, A;
white-man's foot, |h;
white-out, |V;
white-pine rust, |h;
white-pine weevil, h;
white-rayed mule's ears, |h;
white-robed, A;
white-rumped shrike, |h;
white-slaver, N;
white-stemmed filaree, |h;
white-tailed deer, h;
white-tailed jackrabbit, |h;
white-tailed kite, h;
white-tailed sea eagle, h;
white-throated sparrow, h;
white-tie, |A;
white-tipped shark, |h;
white-topped aster, |h;
white-winged dove, h;
white-winged scoter, h;
whiteacre, N;
whitebait, N;
whitebark pine, |h;
whitebarked pine, |h;
whitebeam, N;
whitebeard, N;
whitebelt, A;
whitecap, N;
whitecup, N;
whited, A;
whited sepulcher, h;
whited sepulchre, h;
whitedamp, N;
whiteface, N;
whitefish, N;
whiteflies, p;
whitefly, N;
whitehead, |N;
whitehorse, |N;
whitelash, |N;
whitely, v;
whiteman's foot, |h;
whiten, V;
whitened, |A;
whitener, N;
whiteness, N;
whitening, N;
whiteout, |N;
whites, p;
whiteslave, A;
whitesmith, N;
whitetail, |N;
whitetail antelope squirrel, |h;
whitetail deer, |h;
whitetail jackrabbit, |h;
whitetail prairie dog, |h;
whitethorn, N;
whitethroat, N;
whitetip shark, |h;
whitewall, N;
whitewash, NtV;
whitewashed, |A;
whitewing, N;
whitewood, N;
whitey, N;
whither, vC;
whithersoever, vC;
whitherward, v;
whiting, N;
whitish, A;
whitishness, N;
whitlavia, |N;
whitleather, N;
whitlow, N;
whitlow grass, h;
whitlowwort, N;
whitmonday, |N;
whitney, |N;
whitrack, N;
whitsun, |N;
whitsun monday, |h;
whitsun tuesday, |h;
whitsunday, |N;
whitsuntide, |N;
whittle, VtN;
whittle away, |V;
whittle down, |V;
whittler, N;
whittling, AN;
whittlings, p;
whitweek, |N;
whity, NA;
whiz, ViN;
whiz kid, h;
whiz-bang, NA;
whiz-kid, |N;
whizbang, |N;
whizz, |NV;
whizz along, |V;
whizz-kid, |N;
whizzbang, |N;
whizzed, V;
whizzing, V;
whizzingly, v;
who, rN;
who'd, N;
who'll, N;
who're, N;
who's, N;
who's who, h;
who-does-what, A;
whoa, !;
whodunit, N;
whoever, r;
whole, AvN;
whole blood, h;
whole brother, h;
whole caboodle, |h;
whole gale, h;
whole hog, h;
whole kit, |h;
whole kit and boodle, |h;
whole kit and caboodle, |h;
whole life insurance, h;
whole lot, |h;
whole meal bread, |h;
whole meal flour, |h;
whole milk, h;
whole name, |h;
whole note, h;
whole number, h;
whole rest, h;
whole shebang, |h;
whole slew, |h;
whole snipe, |h;
whole step, h;
whole thing, |h;
whole to part relation, |h;
whole tone, h;
whole wheat bread, |h;
whole wheat flour, |h;
whole works, |h;
whole-souled, A;
whole-tone scale, h;
whole-wheat, A;
whole-word method, |h;
wholefood, N;
wholehearted, A;
wholeheartedly, v;
wholeheartedness, N;
wholemeal, A;
wholeness, |N;
wholesale, NAvV;
wholesale house, |h;
wholesale price index, |h;
wholesaled, V;
wholesaler, N;
wholesaling, V;
wholesome, A;
wholesomely, v;
wholesomeness, N;
wholism, N;
wholistic, A;
wholly, v;
whom, r;
whomever, r;
whomp, NtiV;
whomp up, |V;
whomsoever, r;
whoop, VtN;
whoop it up, |V;
whoop-de-do, N;
whoop-de-dos, p;
whoopee, !N;
whoopee cup, h;
whooper, N;
whooper swan, h;
whooping cough, h;
whooping crane, h;
whoops, !;
whoosh, NiV;
whoosies, p;
whoosis, N;
whoosises, p;
whoosy, N;
whop, VtiN;
whopped, V;
whopper, N;
whopping, Av;
whore, NiV;
whored, V;
whoredom, N;
whorehouse, N;
whorehouses, p;
whoreishly, v;
whoreishness, N;
whoremaster, N;
whoremastery, N;
whoremonger, N;
whoremongering, N;
whoreson, NA;
whoring, V;
whorish, A;
whorl, N;
whorled, A;
whorled aster, |h;
whorled caraway, |h;
whorled loosestrife, |h;
whorled milkweed, |h;
whorlywort, |N;
whort, N;
whortleberries, p;
whortleberry, N;
whose, D;
whosesoever, r;
whosis, N;
whoso, r;
whosoever, r;
whr, N;
whr m, h;
whs stk, h;
whse, N;
whsle, N;
why, vCN!;
why'll, N;
why're, N;
why's, N;
whydah, N;
wi, N;
wichita, |N;
wick, NA;
wicked, A;
wickedly, |v;
wickedness, N;
wicker, NA;
wicker basket, |h;
wickerwork, N;
wicket, N;
wicket door, |h;
wicket gate, |h;
wicket maiden, h;
wicket-keeper, |N;
wicketkeeper, N;
wicking, N;
wickiup, N;
wickless, A;
wickthing, N;
wickup, |N;
wicopies, p;
wicopy, N;
widal test, |h;
widal's test, |h;
widder, N;
widdershins, v;
widdies, p;
widdy, N;
wide, AvN;
wide area network, |h;
wide of the mark, |A;
wide screen, |h;
wide wale, |h;
wide-a-wake, AN;
wide-angle, A;
wide-angle lens, h;
wide-awake, AN;
wide-awakeness, N;
wide-cut, |A;
wide-eyed, A;
wide-open, A;
wide-ranging, A;
wide-screen, A;
wide-spreading, A;
wideband, |A;
widegrip pushup, |h;
widely, v;
widely distributed, |A;
widen, V;
widener, N;
wideness, |N;
widening, |N;
wider, A;
widespread, A;
widest, A;
widgeon, N;
widget, N;
widgie, N;
widish, A;
widow, NtV;
widow bird, h;
widow woman, |h;
widow's benefit, h;
widow's cruse, h;
widow's mite, h;
widow's peak, h;
widow's walk, h;
widow's weeds, |h;
widow's-cross, N;
widowed, |A;
widower, N;
widowhood, |N;
widowly, A;
widowman, |N;
width, N;
widthwise, v;
wieland, |N;
wield, tV;
wieldable, A;
wielder, N;
wieldier, A;
wieldiest, A;
wieldy, A;
wiener, N;
wiener roast, |h;
wiener schnitzel, |h;
wienerwurst, |N;
wienie, N;
wiesenboden, |N;
wife, N;
wife swapping, h;
wifed, V;
wifedom, N;
wifehood, N;
wifeless, A;
wifelessness, N;
wifelier, A;
wifeliest, A;
wifelike, Av;
wifely, At;
wiffle, |N;
wiffle ball, |h;
wifing, V;
wig, Nt;
wig tree, |h;
wigan, N;
wigeon, N;
wigeons, p;
wigged, |A;
wiggeries, p;
wiggery, N;
wigging, N;
wiggle, VN;
wiggle nail, h;
wiggle-tail, N;
wiggled, V;
wiggler, N;
wigglier, A;
wiggliest, A;
wiggliness, |N;
wiggling, VA;
wiggly, A;
wight, NA;
wigless, A;
wiglike, A;
wigmaker, |N;
wigwag, VN;
wigwagged, V;
wigwagger, N;
wigwagging, V;
wigwam, N;
wikiup, N;
wilco, !;
wild, AvN;
wild allspice, h;
wild angelica, |h;
wild apple, |h;
wild ass, |h;
wild basil, |h;
wild bean, h;
wild bergamot, h;
wild bleeding-heart, h;
wild blue yonder, |h;
wild boar, h;
wild brier, h;
wild buckwheat, |h;
wild cabbage, |h;
wild calla, |h;
wild carrot, h;
wild cavy, |h;
wild celery, h;
wild chamomile, |h;
wild cherry, h;
wild cherry tree, |h;
wild chervil, h;
wild china tree, |h;
wild cinnamon, |h;
wild clary, |h;
wild climbing hempweed, |h;
wild clove, h;
wild coffee, |h;
wild corn, h;
wild cotton, |h;
wild crab, |h;
wild cranberry, |h;
wild crocus, |h;
wild date, h;
wild dog, h;
wild duck, |h;
wild emmer, |h;
wild fig, h;
wild flower, h;
wild garlic, |h;
wild geranium, h;
wild ginger, h;
wild goat, |h;
wild goose, h;
wild hollyhock, h;
wild honeysuckle, h;
wild hop, |h;
wild horse, |h;
wild hyacinth, h;
wild hydrangea, |h;
wild indigo, h;
wild ipecac, h;
wild leek, |h;
wild lettuce, h;
wild licorice, |h;
wild lily of the valley, |h;
wild lily-of-the-valley, h;
wild liquorice, |h;
wild lupine, |h;
wild madder, h;
wild man, h;
wild mandrake, |h;
wild mango, |h;
wild mango tree, |h;
wild marjoram, |h;
wild meadow lily, |h;
wild medlar, |h;
wild medlar tree, |h;
wild morning-glory, |h;
wild mustard, h;
wild oat, h;
wild oat grass, |h;
wild oats, ph;
wild oleander, h;
wild oleaster, h;
wild olive, h;
wild onion, |h;
wild orange, h;
wild ox, |h;
wild pansy, h;
wild parsley, h;
wild parsnip, h;
wild passion flower, h;
wild pea, |h;
wild peach, |h;
wild peanut, |h;
wild pink, |h;
wild pitch, |h;
wild plum, |h;
wild plum tree, |h;
wild potato, h;
wild potato vine, |h;
wild pumpkin, h;
wild quinine, |h;
wild radish, |h;
wild rape, |h;
wild raspberry, |h;
wild red oat, |h;
wild rice, h;
wild rose, h;
wild rosemary, h;
wild rubber, h;
wild rye, h;
wild sage, h;
wild sarsaparilla, h;
wild sarsparilla, |h;
wild senna, h;
wild sensitive plant, |h;
wild service tree, h;
wild sheep, |h;
wild snapdragon, |h;
wild spinach, |h;
wild spurge, |h;
wild strawberry, |h;
wild sunflower, h;
wild sweet pea, h;
wild sweet potato, h;
wild sweet potato vine, |h;
wild sweet william, h;
wild tamarind, |h;
wild teasel, |h;
wild thyme, h;
wild tobacco, |h;
wild track, h;
wild type, h;
wild vanilla, h;
wild water lemon, |h;
wild west, |h;
wild wheat, |h;
wild wilkworm, |h;
wild winterpea, |h;
wild wormwood, ht;
wild yam, |h;
wild yellow lily, |h;
wild-eyed, A;
wild-goose chase, h;
wild-headed, A;
wildcat, |NA;
wildcat bank, h;
wildcat strike, h;
wildcat well, |h;
wildcatter, N;
wilde dagga, |h;
wildebeest, N;
wildebeeste, p;
wilder, V;
wilderness, N;
wilderness campaign, |h;
wildfire, N;
wildflower, |N;
wildfowl, N;
wilding, N;
wildlife, N;
wildling, N;
wildly, v;
wildness, N;
wildwood, N;
wile, Nt;
wilful, A;
wilfully, v;
wilfulness, N;
wilhelm karl grimm, |h;
wilhelm richard wagner, |h;
wilier, A;
wiliest, A;
wilily, v;
wiliness, N;
will, VN;
will contest, h;
will for power, h;
will power, h;
will to power, h;
will-call, A;
will-less, A;
will-lessly, v;
will-lessness, N;
will-o'-the-wisp, N;
willable, A;
willard van orman quine, |h;
willed, A;
willemite, N;
willer, N;
willet, N;
willets, p;
willful, A;
willful neglect, |h;
willfully, |v;
willfulness, |N;
william bligh, |h;
william butler yeats, |h;
william faulkner, |h;
william gilbert, |h;
william henry harrison, |h;
william howard taft, |h;
william james, |h;
william jefferson clinton, |h;
william kidd, |h;
william mckinley, |h;
william schwenk gilbert, |h;
william shakespeare, |h;
william shakspere, |h;
william tell, |h;
william wordsworth, |h;
willied, p;
willies, p;
willing, AN;
willing and able, |A;
willingly, v;
willingness, N;
williwaw, N;
willo'-the-wispish, A;
willo'-the-wispy, A;
willow, N;
willow aster, |h;
willow bell, |h;
willow family, |h;
willow grouse, h;
willow herb, h;
willow myrtle, h;
willow oak, h;
willow pattern, h;
willow tit, h;
willow tree, |h;
willow warbler, h;
willow-leaved jasmine, h;
willow-pattern, |N;
willower, N;
willowherb, N;
willowware, |N;
willowy, A;
willpower, N;
willy, Nt;
willy wagtail, h;
willy-nilly, vA;
willy-waa, N;
willy-willies, p;
willy-willy, N;
willyard, A;
willying, p;
wilmington, |N;
wilson, |N;
wilson cloud chamber, |h;
wilson's blackcap, |h;
wilson's phalarope, |h;
wilson's snipe, |h;
wilson's thrush, |h;
wilson's warbler, |h;
wilsonia pusilla, |h;
wilsonian, |A;
wilt, VN;
wilt disease, |h;
wilted, |A;
wilting, |N;
wilton, |N;
wily, A;
wimble, NV;
wimbled, V;
wimbling, V;
wimp, |N;
wimpish, |A;
wimple, NVt;
wimpy, |A;
wimshurst machine, |h;
win, VNt;
win back, |V;
win out, i;
win over, |V;
wince, iNV;
winced, V;
wincey, N;
winceyette, N;
winch, NtiV;
wincher, N;
winchester, N;
winchester drive, |h;
wincing, V;
wind, NtVi;
wind chest, h;
wind colic, h;
wind cone, h;
wind deflection, |h;
wind down, Vi;
wind exposure, |h;
wind gap, h;
wind gauge, h;
wind generation, |h;
wind generator, |h;
wind harp, h;
wind indicator, h;
wind instrument, h;
wind off, |V;
wind poppy, h;
wind power, |h;
wind pump, h;
wind rose, h;
wind sail, h;
wind scale, h;
wind shaft, h;
wind shake, h;
wind shelf, h;
wind sleeve, |h;
wind sock, |h;
wind star, h;
wind tee, h;
wind tunnel, h;
wind up, |V;
wind vane, h;
wind-bell, N;
wind-borne, A;
wind-broken, A;
wind-pollinated, A;
wind-pollination, N;
wind-screen, N;
wind-shaken, A;
wind-sucking, N;
wind-swept, A;
windage, N;
windbag, N;
windbaggery, N;
windblown, A;
windbound, A;
windbreak, N;
windbreaker, |N;
windburn, N;
windburned, A;
windcheater, N;
windchest, N;
winded, A;
windedness, N;
winder, N;
windfall, N;
windfall profit, |h;
windflaw, N;
windflower, N;
windgall, N;
windhover, N;
windier, A;
windiest, A;
windily, v;
windiness, N;
winding, NA;
winding frame, h;
winding sheet, h;
winding staircase, h;
winding-clothes, |N;
winding-sheet, |N;
windingly, v;
windingness, N;
windjammer, N;
windlass, Nt;
windlass bitt, h;
windle, N;
windless, |A;
windlessness, |N;
windlestraw, N;
windmill, NVi;
windmill grass, |h;
window, Nt;
window back, h;
window blind, |h;
window board, h;
window box, h;
window cleaner, |h;
window dresser, h;
window dressing, h;
window envelope, |h;
window frame, |h;
window lock, |h;
window oyster, |h;
window sash, h;
window seat, h;
window shade, |h;
window sill, h;
window trimmer, |h;
window washer, |h;
window-dress, |V;
window-dresser, N;
window-dressing, N;
window-shop, V;
window-shopped, i;
window-shopper, N;
window-shopping, i;
window-washing, |N;
windowless, A;
windowless monad, h;
windowlight, N;
windowpane, N;
windowpane oyster, |h;
windowsill, N;
windowy, A;
windpipe, N;
windproof, A;
windrode, A;
windrow, Nt;
windrower, N;
windsail, N;
windscreen, N;
windscreen wiper, h;
windshield, N;
windshield wiper, |h;
windsock, N;
windsor, |N;
windsor chair, |h;
windsor green, |h;
windsor knot, |h;
windsor tie, |h;
windstorm, N;
windsucker, N;
windsurf, |V;
windswept, A;
windtight, A;
windup, NA;
windward, ANv;
windward islands, |h;
windward side, |h;
windwardness, N;
windway, N;
windy, A;
windy city, |h;
wine, NiV;
wine and dine, |V;
wine bar, h;
wine barrel, |h;
wine bottle, |h;
wine bucket, |h;
wine cask, |h;
wine cellar, h;
wine cooler, h;
wine gallon, h;
wine garden, h;
wine lover, |h;
wine maker, |h;
wine measure, h;
wine merchant, |h;
wine palm, h;
wine sauce, |h;
wine steward, |h;
wine table, h;
wine vinegar, |h;
wine waiter, |h;
wine-colored, |N;
wine-maker's yeast, |h;
wineberries, p;
wineberry, N;
winebibber, N;
wineglass, N;
wineglass heel, |h;
wineglassful, N;
wineglassfuls, p;
winegrower, N;
winegrowing, N;
wineless, A;
winemaker, |N;
winemaking, |N;
winepress, N;
winery, N;
winesap, |N;
wineshop, N;
wineskin, N;
winey, |A;
wing, NVt;
wing and wing, h;
wing bit, h;
wing bolt, h;
wing bow, h;
wing case, |h;
wing chair, h;
wing collar, h;
wing commander, h;
wing covert, h;
wing coverts, h;
wing dam, h;
wing elm, |h;
wing flat, h;
wing loading, h;
wing nut, h;
wing screw, |h;
wing shooting, h;
wing shot, h;
wing skid, h;
wing tip, h;
wing-case, N;
wing-ding, N;
wing-footed, A;
wing-shaped, |A;
wingback, N;
wingback formation, h;
wingding, N;
winged, A;
winged bean, |h;
winged elm, |h;
winged everlasting, |h;
winged pea, |h;
winged pigweed, |h;
winged spindle tree, h;
wingedly, v;
wingedness, N;
winger, N;
wingless, A;
winglessness, N;
winglet, N;
winglike, A;
wingman, |N;
wingnut, |N;
wingover, N;
wings, |N;
wingspan, N;
wingspread, N;
wingstem, |N;
winier, A;
winiest, A;
winish, A;
wink, itNV;
wink at, iV;
winker, N;
winking, |A;
winkingly, v;
winkle, NtV;
winkle out, |V;
winkle-pickers, p;
winkled, V;
winklehawk, N;
winkling, V;
winless, |A;
winlestrae, N;
winnable, A;
winnebago, |N;
winned, V;
winner, N;
winner's circle, h;
winning, AN;
winning gallery, h;
winning hazard, h;
winning opening, h;
winning post, h;
winning streak, |h;
winningly, v;
winningness, N;
winnings, |N;
winnipeg, |N;
winnow, VtN;
winnowing, |N;
wino, N;
winos, p;
winsome, A;
winsomely, v;
winsomeness, N;
winston churchill, |h;
winston-salem, |N;
winter, NiVA;
winter aconite, h;
winter barley, h;
winter cherry, h;
winter cress, h;
winter crookneck, h;
winter crookneck squash, |h;
winter currant, |h;
winter fern, |h;
winter flounder, h;
winter flowering cherry, |h;
winter hazel, |h;
winter heath, |h;
winter hedge, h;
winter heliotrope, h;
winter jasmine, h;
winter melon, h;
winter melon vine, |h;
winter mushroom, |h;
winter oats, h;
winter olympic games, |h;
winter olympics, |h;
winter purslane, h;
winter rose, h;
winter savory, h;
winter savoury, |h;
winter solstice, h;
winter sports, p;
winter squash, |h;
winter squash plant, |h;
winter sweet, |h;
winter urn, |h;
winter vetch, h;
winter wheat, h;
winter wren, h;
winter yellowlegs, h;
winter's bark, |h;
winter's bark family, |h;
winter's bark tree, |h;
winter-hardy, A;
wintera, |N;
wintera colorata, |h;
winteraceae, |N;
winterberry, N;
winterbourne, N;
winterer, N;
winterfeed, V;
winterfeeding, V;
winterffed, V;
wintergreen, N;
wintergreen barberry, h;
wintergreen family, |h;
wintergreen oil, h;
winterier, A;
winteriest, A;
winterish, A;
winterishly, v;
winterization, N;
winterize, tV;
winterized, t;
winterizing, t;
winterkill, VN;
winterless, A;
wintertide, N;
wintertime, N;
winterweight, A;
wintery, A;
wintle, Ni;
wintrier, A;
wintriest, A;
wintrily, v;
wintriness, N;
wintry, A;
wintun, |N;
winy, A;
winze, N;
wipe, tNV;
wipe away, |V;
wipe off, |V;
wipe out, |V;
wipe up, |V;
wiped out, |A;
wiper, N;
wiper arm, |h;
wiper blade, |h;
wirable, A;
wire, NV;
wire agency, h;
wire brush, h;
wire cloth, h;
wire cutter, h;
wire entanglement, h;
wire gauge, h;
wire gauze, h;
wire glass, h;
wire grass, h;
wire house, hti;
wire loop binding, h;
wire matrix printer, |h;
wire netting, h;
wire pack, h;
wire printer, |h;
wire recorder, h;
wire recording, h;
wire room, h;
wire rope, h;
wire service, h;
wire side, h;
wire vine, h;
wire wheel, h;
wire wool, h;
wire-cloth, A;
wire-gauge, N;
wire-haired, A;
wire-haired fox terrier, |h;
wire-haired pointing griffon, h;
wire-haired terrier, |h;
wire-puller, |N;
wire-wound resistor, h;
wire-wove, A;
wired, A;
wired television, h;
wiredancer, N;
wiredancing, N;
wiredraw, V;
wiredrawing, t;
wiredrawn, t;
wiredrew, t;
wirehair, N;
wirehaired terrier, |h;
wireless, NVA;
wireless telegraph, h;
wireless telegraphy, h;
wireless telephone, h;
wireless telephony, h;
wirelessly, v;
wirelessness, N;
wirelike, A;
wireman, N;
wiremen, p;
wirepuller, N;
wirepulling, N;
wirer, N;
wiresonde, N;
wirespun, A;
wiretap, NtiAV;
wiretapper, N;
wirewalker, N;
wirework, N;
wireworks, N;
wireworm, N;
wiring, NA;
wirra, !;
wiry, A;
wis, V;
wisconsin, |N;
wisconsin river, |h;
wisconsin weeping willow, |h;
wisconsinite, |N;
wisdom, N;
wisdom tooth, h;
wisdomless, A;
wise, AVNt;
wise guy, h;
wise man, |h;
wise men, |h;
wise to, |A;
wise up, V;
wiseacre, N;
wisecrack, NV;
wised, At;
wisely, |v;
wiseness, |N;
wisenheimer, N;
wisent, N;
wiser, A;
wisest, A;
wish, VtN;
wish fulfilment, h;
wish on, t;
wish well, |V;
wish-wash, N;
wishbone, N;
wishbone rig, h;
wished-for, |A;
wishful, A;
wishful thinker, |h;
wishful thinking, h;
wishfully, v;
wishfulness, N;
wishing, |N;
wishing bone, |h;
wishing cap, |h;
